H,S,V,class
10,137,93,branco
9,123,93,branco
9,126,91,branco
9,135,85,branco
9,144,85,branco
13,117,72,branco
10,116,79,branco
10,107,86,branco
10,122,88,branco
10,106,101,branco
11,107,107,branco
11,117,107,branco
12,124,105,branco
12,138,98,branco
12,148,98,branco
12,137,112,branco
10,141,114,branco
10,143,112,branco
10,152,111,branco
10,181,97,branco
10,170,96,branco
10,175,93,branco
10,173,81,branco
10,175,80,branco
9,162,82,branco
9,161,76,branco
9,163,75,branco
9,157,73,branco
9,159,72,branco
8,147,71,branco
8,145,72,branco
8,138,72,branco
6,135,70,branco
7,137,67,branco
6,145,65,branco
8,155,64,branco
8,156,75,branco
8,163,78,branco
9,169,80,branco
9,174,82,branco
9,175,86,branco
9,178,89,branco
10,179,94,branco
10,174,97,branco
9,159,112,branco
10,157,112,branco
10,170,99,branco
10,168,100,branco
9,160,102,branco
9,158,100,branco
9,161,98,branco
10,154,106,branco
10,151,108,branco
10,143,100,branco
11,145,97,branco
11,143,96,branco
10,148,95,branco
10,144,101,branco
10,143,102,branco
9,144,99,branco
10,152,92,branco
9,147,90,branco
8,136,94,branco
9,130,94,branco
11,140,82,branco
11,135,70,branco
9,124,82,branco
11,124,84,branco
11,114,92,branco
13,108,97,branco
12,109,101,branco
12,108,104,branco
11,137,97,branco
11,142,97,branco
10,128,112,branco
9,138,109,branco
10,144,108,branco
10,150,109,branco
11,155,110,branco
11,157,109,branco
11,158,108,branco
11,160,107,branco
11,161,106,branco
11,164,104,branco
11,168,102,branco
10,157,107,branco
10,172,98,branco
10,177,95,branco
10,175,96,branco
11,177,95,branco
11,180,95,branco
12,176,94,branco
10,162,96,branco
9,160,89,branco
9,159,90,branco
9,157,91,branco
8,162,85,branco
8,160,86,branco
8,157,83,branco
8,161,81,branco
8,161,76,branco
4,131,70,branco
4,128,72,branco
5,124,72,branco
5,122,73,branco
6,139,68,branco
8,148,67,branco
8,164,67,branco
9,166,69,branco
9,170,72,branco
8,157,81,branco
9,157,86,branco
9,158,95,branco
9,157,96,branco
9,155,97,branco
10,160,97,branco
10,185,87,branco
10,183,89,branco
10,173,103,branco
10,172,104,branco
10,170,105,branco
10,168,106,branco
10,167,107,branco
10,165,108,branco
10,175,102,branco
11,159,106,branco
11,157,107,branco
9,160,99,branco
9,156,98,branco
9,153,100,branco
9,163,97,branco
9,165,93,branco
9,155,99,branco
9,155,102,branco
9,149,103,branco
9,163,105,branco
9,161,106,branco
10,153,102,branco
11,146,103,branco
11,143,98,branco
12,139,97,branco
11,138,96,branco
11,140,95,branco
9,131,103,branco
9,133,102,branco
9,138,98,branco
9,144,92,branco
8,142,90,branco
8,139,92,branco
9,135,91,branco
9,139,88,branco
10,139,86,branco
10,141,85,branco
10,143,84,branco
10,144,83,branco
12,142,79,branco
11,147,71,branco
10,123,87,branco
13,122,86,branco
14,110,93,branco
12,111,99,branco
12,110,102,branco
11,114,105,branco
10,128,100,branco
11,138,100,branco
10,122,115,branco
9,137,110,branco
10,143,109,branco
9,145,109,branco
10,149,108,branco
12,152,109,branco
11,154,111,branco
10,160,91,branco
9,155,87,branco
7,158,84,branco
7,156,85,branco
8,155,84,branco
7,152,82,branco
6,152,77,branco
7,154,73,branco
6,159,69,branco
6,158,68,branco
4,139,66,branco
3,131,66,branco
4,127,66,branco
4,124,68,branco
5,131,68,branco
5,135,66,branco
9,164,70,branco
8,159,80,branco
9,159,85,branco
9,155,92,branco
10,158,92,branco
11,172,107,branco
11,170,108,branco
11,180,102,branco
11,160,105,branco
10,169,95,branco
9,157,101,branco
9,158,97,branco
9,163,94,branco
9,159,96,branco
9,150,102,branco
9,162,107,branco
9,160,107,branco
9,158,108,branco
9,154,103,branco
11,149,99,branco
11,146,96,branco
12,141,96,branco
12,135,96,branco
8,128,100,branco
8,130,100,branco
8,133,96,branco
8,137,93,branco
9,136,90,branco
11,137,84,branco
12,134,84,branco
10,119,90,branco
14,109,94,branco
12,111,101,branco
11,115,104,branco
10,125,112,branco
10,141,110,branco
9,144,110,branco
10,148,110,branco
10,147,109,branco
10,146,110,branco
12,149,111,branco
11,153,112,branco
10,156,108,branco
10,156,93,branco
10,161,90,branco
8,159,82,branco
8,153,80,branco
7,152,74,branco
6,160,67,branco
8,157,65,branco
4,143,64,branco
5,142,63,branco
4,134,63,branco
4,130,63,branco
6,135,64,branco
5,139,64,branco
8,154,68,branco
9,161,84,branco
9,162,88,branco
11,178,103,branco
11,162,104,branco
9,166,95,branco
11,152,97,branco
11,135,98,branco
8,135,96,branco
8,134,95,branco
9,133,92,branco
11,133,86,branco
12,129,87,branco
11,141,74,branco
10,125,88,branco
10,118,91,branco
13,115,91,branco
14,103,99,branco
12,108,102,branco
10,129,99,branco
10,132,106,branco
9,136,111,branco
10,140,111,branco
9,142,111,branco
10,147,111,branco
10,145,111,branco
11,163,105,branco
11,166,103,branco
11,169,101,branco
10,181,90,branco
11,178,96,branco
12,174,95,branco
10,159,88,branco
9,178,76,branco
8,165,79,branco
9,159,77,branco
8,154,76,branco
8,153,65,branco
6,140,62,branco
4,132,62,branco
5,128,60,branco
6,138,63,branco
5,144,62,branco
6,147,64,branco
9,168,85,branco
10,181,86,branco
10,183,88,branco
11,177,104,branco
9,152,104,branco
11,148,95,branco
8,138,94,branco
8,140,93,branco
8,131,97,branco
9,132,93,branco
10,150,80,branco
11,134,78,branco
10,122,90,branco
13,112,93,branco
14,100,102,branco
12,106,103,branco
12,112,100,branco
10,126,101,branco
11,141,98,branco
10,135,104,branco
12,147,113,branco
12,145,114,branco
10,154,109,branco
10,185,88,branco
9,173,78,branco
9,183,74,branco
8,166,77,branco
9,153,75,branco
9,152,67,branco
9,156,62,branco
6,142,61,branco
7,141,58,branco
5,132,58,branco
6,130,57,branco
5,130,59,branco
7,138,59,branco
6,145,60,branco
9,149,77,branco
10,187,83,branco
10,189,85,branco
11,173,106,branco
11,175,105,branco
11,163,103,branco
11,167,101,branco
10,157,99,branco
11,142,99,branco
8,144,90,branco
8,140,91,branco
8,130,98,branco
10,146,82,branco
12,127,88,branco
11,132,79,branco
10,120,91,branco
13,114,92,branco
14,101,101,branco
10,120,106,branco
11,134,103,branco
11,171,100,branco
10,153,110,branco
11,176,97,branco
12,173,96,branco
9,179,74,branco
9,165,74,branco
11,157,73,branco
10,153,70,branco
10,151,66,branco
9,167,58,branco
10,164,56,branco
7,148,55,branco
8,146,54,branco
6,137,54,branco
8,130,53,branco
6,132,56,branco
8,141,56,branco
6,147,59,branco
9,172,83,branco
11,168,100,branco
8,146,89,branco
9,129,95,branco
11,132,87,branco
10,120,89,branco
11,136,77,branco
10,119,92,branco
10,116,92,branco
13,111,94,branco
14,98,104,branco
12,104,105,branco
10,118,108,branco
11,132,104,branco
9,174,76,branco
10,164,73,branco
11,159,72,branco
11,155,74,branco
10,151,71,branco
10,148,67,branco
10,167,55,branco
11,165,54,branco
9,142,52,branco
8,132,52,branco
8,127,52,branco
8,125,55,branco
8,139,57,branco
8,140,71,branco
10,164,109,branco
11,165,102,branco
11,174,98,branco
8,137,95,branco
8,143,89,branco
9,128,96,branco
10,125,86,branco
11,139,75,branco
10,115,93,branco
13,106,99,branco
14,94,109,branco
12,102,108,branco
10,119,107,branco
11,135,102,branco
10,138,102,branco
9,139,108,branco
11,151,113,branco
10,153,95,branco
9,170,78,branco
12,154,73,branco
10,147,73,branco
11,149,70,branco
10,144,69,branco
11,143,66,branco
11,162,55,branco
9,140,53,branco
9,137,54,branco
8,123,54,branco
8,121,55,branco
8,116,57,branco
9,125,59,branco
9,171,79,branco
9,176,81,branco
10,175,89,branco
10,162,110,branco
11,145,95,branco
8,134,97,branco
8,145,88,branco
10,131,82,branco
11,131,80,branco
10,118,93,branco
13,110,95,branco
12,110,100,branco
12,119,94,branco
11,121,99,branco
10,125,102,branco
10,130,108,branco
9,148,107,branco
10,153,107,branco
11,168,108,branco
11,166,109,branco
11,169,107,branco
11,171,106,branco
11,163,111,branco
11,178,102,branco
11,179,101,branco
11,176,103,branco
11,160,113,branco
11,159,114,branco
11,162,112,branco
11,165,110,branco
11,173,99,branco
10,156,90,branco
11,141,67,branco
11,159,56,branco
9,132,56,branco
9,134,55,branco
8,125,53,branco
10,125,51,branco
9,176,77,branco
9,183,78,branco
9,179,80,branco
11,168,109,branco
10,158,102,branco
10,142,99,branco
8,141,92,branco
11,129,81,branco
10,115,95,branco
12,122,92,branco
11,125,96,branco
11,136,101,branco
10,131,107,branco
11,172,105,branco
11,174,104,branco
10,158,89,branco
10,149,72,branco
11,157,57,branco
11,151,59,branco
9,127,58,branco
9,130,57,branco
10,120,53,branco
6,131,66,branco
11,148,102,branco
10,146,96,branco
11,126,83,branco
10,112,98,branco
13,107,98,branco
14,99,103,branco
12,112,98,branco
12,126,89,branco
11,129,93,branco
10,130,98,branco
11,139,99,branco
10,145,107,branco
11,157,115,branco
10,158,76,branco
11,152,69,branco
10,146,68,branco
11,145,65,branco
11,149,60,branco
11,144,62,branco
9,123,60,branco
8,118,56,branco
6,128,68,branco
11,156,100,branco
11,157,99,branco
10,145,100,branco
10,150,97,branco
9,150,95,branco
9,152,94,branco
11,142,81,branco
10,126,85,branco
11,120,87,branco
10,109,98,branco
13,104,101,branco
14,97,105,branco
11,130,92,branco
10,131,97,branco
9,146,108,branco
11,176,100,branco
11,156,116,branco
10,146,63,branco
11,142,63,branco
8,125,63,branco
8,121,57,branco
6,133,65,branco
6,141,67,branco
8,155,82,branco
9,149,96,branco
11,143,80,branco
11,116,90,branco
10,106,103,branco
10,107,100,branco
13,102,103,branco
14,95,107,branco
10,127,110,branco
12,169,110,branco
12,171,109,branco
12,172,108,branco
12,176,106,branco
